index,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
764,Resort Hotel,1,11,2015,July,31,28,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,,,0,Transient,0,0,0,Check-Out,7/1/2015
765,Resort Hotel,0,32,2015,July,31,28,0,4,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient,0,0,0,Check-Out,7/1/2015
766,Resort Hotel,0,29,2015,July,31,28,0,4,2,0,0,BB,RUS,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient,75,0,0,Check-Out,7/2/2015
767,Resort Hotel,0,47,2015,July,31,28,0,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,304,,0,Transient,75,0,0,Check-Out,7/2/2015
768,Resort Hotel,0,50,2015,July,31,28,0,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,98,0,1,Check-Out,7/3/2015
769,Resort Hotel,1,29,2015,July,31,28,0,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,98,0,1,Check-Out,7/3/2015
770,Resort Hotel,0,36,2015,July,31,28,0,5,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,107,0,0,Check-Out,7/3/2015
771,Resort Hotel,0,49,2015,July,31,28,1,5,2,0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,303,,0,Transient,103,0,1,Check-Out,7/3/2015
772,Resort Hotel,1,70,2015,July,31,28,2,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,82,0,1,Canceled,5/6/2015
773,Resort Hotel,0,110,2015,July,31,28,2,8,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,15,,0,Transient,105.5,0,0,Canceled,4/22/2015
774,Resort Hotel,0,8,2015,July,31,29,0,0,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,240,,0,Transient,123,0,0,Canceled,6/23/2015
775,Resort Hotel,1,119,2015,July,31,29,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,145,0,0,Check-Out,7/5/2015
