index,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
5660.0,Resort Hotel,1.0,192.0,2016.0,May,20.0,8.0,2.0,5.0,2.0,0.0,0.0,BB,PRT,Offline TA/TO,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,67.0,,0,Transient-Party,64.0,0,0,Canceled,1/18/2016
5546.0,Resort Hotel,0.0,199.0,2016.0,May,19.0,2.0,1.0,1.0,2.0,0.0,0.0,HB,DEU,Groups,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,,223.0,0,Transient-Party,66.0,0,0,Canceled,3/24/2016
2260.0,Resort Hotel,0.0,33.0,2015.0,October,41.0,8.0,0.0,3.0,2.0,1.0,0.0,BB,PRT,Corporate,Corporate,0.0,0.0,0.0,A,A,3.0,No Deposit,250.0,,0,Transient,158.0,0,0,Check-Out,9/5/2015
2721.0,Resort Hotel,0.0,19.0,2015.0,October,44.0,28.0,0.0,1.0,2.0,0.0,0.0,HB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,2.0,No Deposit,240.0,,0,Transient,112.0,1,0,Check-Out,9/27/2015
9935.0,Resort Hotel,1.0,27.0,2017.0,January,4.0,27.0,0.0,2.0,2.0,0.0,0.0,BB,GBR,Online TA,TA/TO,0.0,0.0,0.0,A,A,1.0,No Deposit,314.0,,0,Transient,38.4,0,0,Canceled,8/25/2016
,,,,,,,,,,,,,,,,,,,,,,,,,308.0,0,Transient-Party,114.0,0,0,Canceled,12/22/2016
8096.0,Resort Hotel,1.0,53.0,2016.0,September,38.0,11.0,2.0,2.0,2.0,0.0,1.0,HB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,1.0,No Deposit,250.0,,0,Transient,204.0,0,0,Canceled,5/23/2016
8713.0,Resort Hotel,1.0,12.0,2016.0,October,42.0,10.0,1.0,1.0,2.0,0.0,0.0,BB,FRA,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,181.0,,0,Transient,107.2,0,0,Canceled,8/24/2016
3781.0,Resort Hotel,1.0,62.0,2016.0,January,2.0,4.0,1.0,4.0,2.0,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,E,E,0.0,No Deposit,281.0,,0,Transient-Party,40.0,0,0,Canceled,10/10/2015
7510.0,Resort Hotel,1.0,69.0,2016.0,August,33.0,13.0,1.0,1.0,2.0,0.0,0.0,BB,ESP,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,241.0,,0,Transient,60.29,0,3,Check-Out,7/8/2016
