,index,is_canceled,lead_time,days_in_waiting_list,adr,hotel_count_encoded,stays_in_weekend_nights_count_encoded,stays_in_week_nights_count_encoded,adults_count_encoded,children_count_encoded,babies_count_encoded,meal_count_encoded,country_count_encoded,market_segment_count_encoded,distribution_channel_count_encoded,is_repeated_guest_count_encoded,previous_cancellations_count_encoded,previous_bookings_not_canceled_count_encoded,reserved_room_type_count_encoded,assigned_room_type_count_encoded,booking_changes_count_encoded,deposit_type_count_encoded,agent_count_encoded,customer_type_count_encoded,required_car_parking_spaces_count_encoded,total_of_special_requests_count_encoded
123,3709.0,1.0,41.0,0,36.0,1.0,0.18333333333333332,0.11666666666666667,0.7833333333333333,0.95,1.0,0.6166666666666667,0.9166666666666666,0.48333333333333334,0.75,1.0,1.0,1.0,0.23333333333333334,0.26666666666666666,0.8666666666666667,0.9166666666666666,0.5166666666666667,0.9333333333333333,0.9166666666666666,1.0
265,3631.0,1.0,49.0,0,48.0,1.0,0.13333333333333333,0.23333333333333334,0.18333333333333332,0.95,1.0,0.6166666666666667,0.9166666666666666,0.48333333333333334,0.75,1.0,1.0,1.0,0.6166666666666667,0.48333333333333334,0.8666666666666667,0.9166666666666666,0.26666666666666666,0.9333333333333333,0.9166666666666666,1.0
320,3646.0,1.0,160.0,0,48.0,1.0,0.18333333333333332,0.016666666666666666,0.7833333333333333,0.95,1.0,0.6166666666666667,0.9166666666666666,0.48333333333333334,0.75,1.0,1.0,1.0,0.23333333333333334,0.26666666666666666,0.1,0.9166666666666666,0.06666666666666667,0.05,0.9166666666666666,1.0
335,3718.0,1.0,161.0,0,36.75,1.0,0.6333333333333333,0.11666666666666667,0.7833333333333333,0.05,1.0,0.6166666666666667,0.9166666666666666,0.48333333333333334,0.75,1.0,1.0,1.0,0.03333333333333333,0.03333333333333333,0.8666666666666667,0.9166666666666666,0.5166666666666667,0.9333333333333333,0.08333333333333333,1.0
390,3828.0,1.0,1.0,0,36.0,1.0,0.6333333333333333,0.23333333333333334,0.7833333333333333,0.95,1.0,0.6166666666666667,0.9166666666666666,0.48333333333333334,0.75,1.0,1.0,1.0,0.08333333333333333,0.11666666666666667,0.8666666666666667,0.9166666666666666,0.5166666666666667,0.9333333333333333,0.9166666666666666,1.0
407,3785.0,0.0,86.0,0,43.2,1.0,0.6333333333333333,0.23333333333333334,0.7833333333333333,0.95,1.0,0.25,0.05,0.48333333333333334,0.75,1.0,1.0,1.0,0.6166666666666667,0.48333333333333334,0.8666666666666667,0.9166666666666666,0.08333333333333333,0.9333333333333333,0.9166666666666666,1.0
520,6464.0,1.0,55.0,0,70.0,1.0,0.18333333333333332,0.05,0.7833333333333333,0.95,1.0,0.6166666666666667,0.9166666666666666,0.48333333333333334,0.75,1.0,1.0,1.0,0.6166666666666667,0.48333333333333334,0.8666666666666667,0.9166666666666666,0.016666666666666666,0.9333333333333333,0.9166666666666666,1.0
570,3766.0,1.0,113.0,0,40.5,1.0,0.6333333333333333,0.23333333333333334,0.7833333333333333,0.95,1.0,0.25,0.9166666666666666,0.26666666666666666,0.23333333333333334,1.0,1.0,1.0,0.6166666666666667,0.48333333333333334,0.8666666666666667,0.08333333333333333,0.08333333333333333,0.9333333333333333,0.08333333333333333,1.0
595,3829.0,1.0,7.0,0,52.2,1.0,0.18333333333333332,0.11666666666666667,0.7833333333333333,0.95,1.0,0.25,0.9166666666666666,0.48333333333333334,0.75,1.0,1.0,1.0,0.23333333333333334,0.26666666666666666,0.8666666666666667,0.9166666666666666,0.5166666666666667,0.9333333333333333,0.9166666666666666,1.0
686,3821.0,0.0,0.0,0,40.0,1.0,0.6333333333333333,0.05,0.7833333333333333,0.95,1.0,0.6166666666666667,0.9166666666666666,0.48333333333333334,0.75,1.0,1.0,1.0,0.23333333333333334,0.016666666666666666,0.8666666666666667,0.9166666666666666,0.26666666666666666,0.9333333333333333,0.9166666666666666,1.0
775,3822.0,1.0,15.0,0,40.0,1.0,0.6333333333333333,0.26666666666666666,0.18333333333333332,0.95,1.0,0.6166666666666667,0.9166666666666666,0.48333333333333334,0.75,1.0,1.0,1.0,0.6166666666666667,0.48333333333333334,0.8666666666666667,0.9166666666666666,0.26666666666666666,0.9333333333333333,0.9166666666666666,1.0
