Column,Category,Count,Percentage,datetime_stamp,version
hotel,Resort Hotel,9236,92.36,2024-01-19,1
is_canceled,1.0,6132,61.31999999999999,2024-01-19,1
is_canceled,0.0,3104,31.04,2024-01-19,1
stays_in_weekend_nights,2.0,3478,34.78,2024-01-19,1
stays_in_weekend_nights,0.0,2912,29.12,2024-01-19,1
stays_in_weekend_nights,1.0,2188,21.88,2024-01-19,1
stays_in_weekend_nights,4.0,343,3.4299999999999997,2024-01-19,1
stays_in_weekend_nights,3.0,244,2.44,2024-01-19,1
stays_in_weekend_nights,6.0,29,0.29,2024-01-19,1
stays_in_weekend_nights,5.0,15,0.15,2024-01-19,1
stays_in_weekend_nights,8.0,12,0.12,2024-01-19,1
stays_in_weekend_nights,7.0,8,0.08,2024-01-19,1
stays_in_weekend_nights,9.0,3,0.03,2024-01-19,1
stays_in_weekend_nights,12.0,2,0.02,2024-01-19,1
stays_in_weekend_nights,13.0,1,0.01,2024-01-19,1
stays_in_weekend_nights,16.0,1,0.01,2024-01-19,1
stays_in_week_nights,5.0,1916,19.16,2024-01-19,1
stays_in_week_nights,1.0,1795,17.95,2024-01-19,1
stays_in_week_nights,2.0,1777,17.77,2024-01-19,1
stays_in_week_nights,3.0,1518,15.18,2024-01-19,1
stays_in_week_nights,4.0,925,9.25,2024-01-19,1
stays_in_week_nights,0.0,360,3.5999999999999996,2024-01-19,1
stays_in_week_nights,6.0,301,3.01,2024-01-19,1
stays_in_week_nights,10.0,192,1.92,2024-01-19,1
stays_in_week_nights,7.0,190,1.9,2024-01-19,1
stays_in_week_nights,8.0,143,1.43,2024-01-19,1
stays_in_week_nights,9.0,41,0.41000000000000003,2024-01-19,1
stays_in_week_nights,15.0,22,0.22,2024-01-19,1
stays_in_week_nights,11.0,14,0.13999999999999999,2024-01-19,1
stays_in_week_nights,20.0,10,0.1,2024-01-19,1
stays_in_week_nights,12.0,8,0.08,2024-01-19,1
stays_in_week_nights,16.0,5,0.05,2024-01-19,1
stays_in_week_nights,13.0,5,0.05,2024-01-19,1
stays_in_week_nights,21.0,4,0.04,2024-01-19,1
stays_in_week_nights,14.0,3,0.03,2024-01-19,1
stays_in_week_nights,19.0,2,0.02,2024-01-19,1
stays_in_week_nights,30.0,2,0.02,2024-01-19,1
stays_in_week_nights,24.0,1,0.01,2024-01-19,1
stays_in_week_nights,33.0,1,0.01,2024-01-19,1
stays_in_week_nights,40.0,1,0.01,2024-01-19,1
adults,2.0,7726,77.25999999999999,2024-01-19,1
adults,1.0,1214,12.139999999999999,2024-01-19,1
adults,3.0,269,2.69,2024-01-19,1
adults,0.0,7,0.06999999999999999,2024-01-19,1
adults,26.0,5,0.05,2024-01-19,1
adults,4.0,4,0.04,2024-01-19,1
adults,5.0,2,0.02,2024-01-19,1
adults,20.0,2,0.02,2024-01-19,1
adults,27.0,2,0.02,2024-01-19,1
adults,6.0,1,0.01,2024-01-19,1
adults,10.0,1,0.01,2024-01-19,1
adults,40.0,1,0.01,2024-01-19,1
adults,50.0,1,0.01,2024-01-19,1
adults,55.0,1,0.01,2024-01-19,1
children,0.0,8486,84.86,2024-01-19,1
children,2.0,387,3.8699999999999997,2024-01-19,1
children,1.0,361,3.61,2024-01-19,1
children,3.0,2,0.02,2024-01-19,1
babies,0.0,9109,91.09,2024-01-19,1
babies,1.0,125,1.25,2024-01-19,1
babies,2.0,2,0.02,2024-01-19,1
meal,BB,6565,65.64999999999999,2024-01-19,1
meal,HB,1938,19.38,2024-01-19,1
meal,FB,385,3.85,2024-01-19,1
meal,Undefined,326,3.26,2024-01-19,1
meal,SC,22,0.22,2024-01-19,1
country,PRT,5467,54.669999999999995,2024-01-19,1
country,GBR,1181,11.81,2024-01-19,1
country,ESP,810,8.1,2024-01-19,1
country,IRL,351,3.51,2024-01-19,1
country,DEU,330,3.3000000000000003,2024-01-19,1
country,FRA,190,1.9,2024-01-19,1
country,NLD,83,0.83,2024-01-19,1
country,POL,82,0.8200000000000001,2024-01-19,1
country,BRA,79,0.79,2024-01-19,1
country,CN,75,0.75,2024-01-19,1
country,SWE,66,0.66,2024-01-19,1
country,BEL,59,0.59,2024-01-19,1
country,CHE,57,0.5700000000000001,2024-01-19,1
country,ITA,54,0.54,2024-01-19,1
country,USA,46,0.45999999999999996,2024-01-19,1
country,AUT,39,0.38999999999999996,2024-01-19,1
country,RUS,34,0.33999999999999997,2024-01-19,1
country,LUX,23,0.22999999999999998,2024-01-19,1
country,ROU,21,0.21,2024-01-19,1
country,MAR,17,0.16999999999999998,2024-01-19,1
country,FIN,14,0.13999999999999999,2024-01-19,1
country,ARG,12,0.12,2024-01-19,1
country,TUR,8,0.08,2024-01-19,1
country,AUS,8,0.08,2024-01-19,1
country,ISR,7,0.06999999999999999,2024-01-19,1
country,LVA,7,0.06999999999999999,2024-01-19,1
country,LTU,7,0.06999999999999999,2024-01-19,1
country,IND,7,0.06999999999999999,2024-01-19,1
country,NOR,7,0.06999999999999999,2024-01-19,1
country,CHN,7,0.06999999999999999,2024-01-19,1
country,DZA,7,0.06999999999999999,2024-01-19,1
country,CZE,6,0.06,2024-01-19,1
country,EST,6,0.06,2024-01-19,1
country,ZAF,5,0.05,2024-01-19,1
country,ARE,4,0.04,2024-01-19,1
country,BLR,4,0.04,2024-01-19,1
country,KOR,3,0.03,2024-01-19,1
country,JEY,3,0.03,2024-01-19,1
country,MEX,2,0.02,2024-01-19,1
country,CHL,2,0.02,2024-01-19,1
country,COL,2,0.02,2024-01-19,1
country,DNK,2,0.02,2024-01-19,1
country,HKG,2,0.02,2024-01-19,1
country,GIB,2,0.02,2024-01-19,1
country,URY,2,0.02,2024-01-19,1
country,GRC,2,0.02,2024-01-19,1
country,CRI,2,0.02,2024-01-19,1
country,TUN,1,0.01,2024-01-19,1
country,UKR,1,0.01,2024-01-19,1
country,SMR,1,0.01,2024-01-19,1
country,SRB,1,0.01,2024-01-19,1
country,SVN,1,0.01,2024-01-19,1
country,PRI,1,0.01,2024-01-19,1
country,ZMB,1,0.01,2024-01-19,1
country,AGO,1,0.01,2024-01-19,1
country,OMN,1,0.01,2024-01-19,1
country,GGY,1,0.01,2024-01-19,1
country,AND,1,0.01,2024-01-19,1
country,CAF,1,0.01,2024-01-19,1
country,CPV,1,0.01,2024-01-19,1
country,CYM,1,0.01,2024-01-19,1
country,CYP,1,0.01,2024-01-19,1
country,GEO,1,0.01,2024-01-19,1
country,HRV,1,0.01,2024-01-19,1
country,NGA,1,0.01,2024-01-19,1
country,HUN,1,0.01,2024-01-19,1
country,ALB,1,0.01,2024-01-19,1
country,IRN,1,0.01,2024-01-19,1
country,JAM,1,0.01,2024-01-19,1
country,KWT,1,0.01,2024-01-19,1
country,MOZ,1,0.01,2024-01-19,1
country,ZWE,1,0.01,2024-01-19,1
market_segment,Online TA,4301,43.01,2024-01-19,1
market_segment,Groups,2368,23.68,2024-01-19,1
market_segment,Offline TA/TO,1388,13.88,2024-01-19,1
market_segment,Direct,827,8.27,2024-01-19,1
market_segment,Corporate,325,3.25,2024-01-19,1
market_segment,Complementary,27,0.27,2024-01-19,1
distribution_channel,TA/TO,7155,71.55,2024-01-19,1
distribution_channel,Direct,1550,15.5,2024-01-19,1
distribution_channel,Corporate,531,5.3100000000000005,2024-01-19,1
is_repeated_guest,0.0,9236,92.36,2024-01-19,1
previous_cancellations,0.0,9236,92.36,2024-01-19,1
previous_bookings_not_canceled,0.0,9236,92.36,2024-01-19,1
reserved_room_type,A,5713,57.13,2024-01-19,1
reserved_room_type,D,1591,15.909999999999998,2024-01-19,1
reserved_room_type,E,1078,10.780000000000001,2024-01-19,1
